Tax Year,Credit Type,Place of Residence,County,Notes,"Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total","Number of Claims, One Qualifying Person","Credit Amount Claimed, One Qualifying Person ($000)","Average Credit, One Qualifying Person","Number of Claims, Two or More Qualifying Persons","Credit Amount Claimed, Two or More Qualifying Persons ($000)","Average Credit, Two or More Qualifying Persons","Number of Claims, Two Qualifying Persons","Credit Amount Claimed, Two Qualifying Persons ($000)","Average Credit, Two Qualifying Persons","Number of Claims, Three or More Qualifying Persons","Credit Amount Claimed, Three or More Qualifying Persons ($000)","Average Credit, Three or More Qualifying Persons","Number of Claims, Single Filing Status","Credit Amount Claimed, Single Filing Status ($000)","Average Credit, Single Filing Status","Number of Claims, MFJ & QW Filing Status *","Credit Amount Claimed, MFJ & QW Filing Status ($000) *","Average Credit, MFJ & QW Filing Status *","Number of Claims, Head of Household Filing Status","Credit Amount Claimed, Head of Household Filing Status ($000)","Average Credit, Head of Household Filing Status",Place of Residence Sort Order
2012,NYS CDCC,Cattaraugus,Cattaraugus,,1020,281.048,275.54,708,177.806,251.14,312,103.242,330.9,,,,,,,53,21.002,396.26,599,103.276,172.41,368,156.77,426.01,10
2012,NYS CDCC,Cayuga,Cayuga,,1189,320.32,269.4,821,202.838,247.06,368,117.482,319.24,,,,,,,39,20.69,530.51,753,113.534,150.78,397,186.096,468.76,11
2012,NYS CDCC,Chautauqua,Chautauqua,,1609,462.281,287.31,1073,292.775,272.86,536,169.506,316.24,,,,,,,55,28.369,515.8,957,159.588,166.76,597,274.324,459.5,12
2012,NYS CDCC,Chemung,Chemung,,1441,435.248,302.05,967,272.481,281.78,474,162.767,343.39,,,,,,,45,27.361,608.02,878,136.74,155.74,518,271.147,523.45,13
2012,NYS CDCC,Chenango,Chenango,,709,224.274,316.32,458,129.198,282.09,251,95.076,378.79,,,,,,,34,16.3,479.41,436,83.915,192.47,239,124.059,519.08,14
2012,NYS CDCC,Clinton,Clinton,,1473,423.646,287.61,978,268.073,274.1,495,155.573,314.29,,,,,,,48,29.165,607.6,1012,171.533,169.5,413,222.948,539.83,15
2012,NYS CDCC,Columbia,Columbia,,900,260.881,289.87,613,170.227,277.69,287,90.654,315.87,,,,,,,30,15.768,525.6,586,96.378,164.47,284,148.735,523.71,16
2012,NYS CDCC,Cortland,Cortland,,920,293.577,319.11,586,172.175,293.81,334,121.402,363.48,,,,,,,32,17.007,531.47,588,110.532,187.98,300,166.038,553.46,17
2012,NYS CDCC,Delaware,Delaware,,510,170.618,334.55,314,91.127,290.21,196,79.491,405.57,,,,,,,19,12.295,647.11,319,69.784,218.76,172,88.539,514.76,18
2012,NYS CDCC,Dutchess,Dutchess,,6515,1877.035,288.11,4226,1169.847,276.82,2289,707.188,308.95,,,,,,,150,83.796,558.64,4143,599.555,144.72,2222,1193.684,537.21,19
2012,NYS CDCC,Erie,Erie,,17971,5466.279,304.17,11571,3367.692,291.05,6400,2098.587,327.9,,,,,,,484,276.62,571.53,10670,1442.544,135.2,6817,3747.115,549.67,20
2012,NYS CDCC,Essex,Essex,,563,164.959,293,365,107.791,295.32,198,57.168,288.73,,,,,,,16,9.947,621.69,383,71.102,185.64,164,83.91,511.65,21
2012,NYS CDCC,Franklin,Franklin,,804,287.463,357.54,530,177.209,334.36,274,110.254,402.39,,,,,,,29,15.257,526.1,435,87.838,201.93,340,184.368,542.26,22
2012,NYS CDCC,Fulton,Fulton,,740,285.544,385.87,526,180.099,342.39,214,105.445,492.73,,,,,,,19,10.368,545.68,403,78.175,193.98,318,197.001,619.5,23
2012,NYS CDCC,Genesee,Genesee,,909,243.44,267.81,582,145.91,250.7,327,97.53,298.26,,,,,,,37,19.532,527.89,610,79.413,130.19,262,144.495,551.51,24
2012,NYS CDCC,Greene,Greene,,554,155.521,280.72,389,100.102,257.33,165,55.419,335.87,,,,,,,16,11.12,695,359,53.549,149.16,179,90.852,507.55,25
2012,NYS CDCC,Hamilton,Hamilton,d/,26,10.638,409.15,14,2.739,195.64,12,7.899,658.25,,,,,,,0,0,0,,,143.05,,,1007.87,26
2012,NYS CDCC,Herkimer,Herkimer,,858,308.084,359.07,574,188.187,327.85,284,119.897,422.17,,,,,,,36,21.286,591.28,513,104.576,203.85,309,182.222,589.72,27
2012,NYS CDCC,Jefferson,Jefferson,,1710,565.439,330.67,1129,348.202,308.42,581,217.237,373.9,,,,,,,55,34.536,627.93,1102,241.671,219.3,553,289.232,523.02,28
2012,NYS CDCC,Lewis,Lewis,,327,81.327,248.71,204,46.429,227.59,123,34.898,283.72,,,,,,,14,8.604,614.57,249,40.68,163.37,64,32.043,500.67,29
2012,NYS CDCC,Livingston,Livingston,,860,230.391,267.9,559,138.707,248.13,301,91.684,304.6,,,,,,,23,15.198,660.78,593,93.05,156.91,244,122.143,500.59,30
2012,NYS CDCC,Madison,Madison,,977,272.293,278.7,602,149.601,248.51,375,122.692,327.18,,,,,,,32,15.758,492.44,702,116.3,165.67,243,140.235,577.1,31
2012,NYS CDCC,Monroe,Monroe,,16071,5456.305,339.51,10081,3332.151,330.54,5990,2124.154,354.62,,,,,,,571,355.363,622.35,9339,1323.757,141.75,6161,3777.185,613.08,32
2012,NYS CDCC,Montgomery,Montgomery,,636,237.351,373.19,456,158.251,347.04,180,79.1,439.44,,,,,,,20,11.774,588.7,338,58.874,174.18,278,166.703,599.65,33
2012,NYS CDCC,Nassau,Nassau,,36791,11262.369,306.12,23169,6857.958,296,13622,4404.411,323.33,,,,,,,804,538.736,670.07,22870,3685.238,161.14,13117,7038.395,536.59,34
2012,NYS CDCC,Niagara,Niagara,,3644,1073.299,294.54,2390,657.195,274.98,1254,416.104,331.82,,,,,,,104,53.341,512.89,2263,324.579,143.43,1277,695.379,544.54,35
2012,NYS CDCC,Oneida,Oneida,,3380,1234.311,365.18,2322,769.388,331.35,1058,464.923,439.44,,,,,,,112,63.819,569.81,1926,376.072,195.26,1342,794.42,591.97,36
2012,NYS CDCC,Onondaga,Onondaga,,9668,3371.651,348.74,6238,2040.092,327.04,3430,1331.559,388.21,,,,,,,333,197.206,592.21,5532,819.344,148.11,3803,2355.101,619.27,37
2012,NYS CDCC,Ontario,Ontario,,2111,578.645,274.11,1254,349.654,278.83,857,228.991,267.2,,,,,,,64,35.036,547.44,1421,219.868,154.73,626,323.741,517.16,38
2012,NYS CDCC,Orange,Orange,,8554,2690.744,314.56,5712,1669.09,292.21,2842,1021.654,359.48,,,,,,,200,128.66,643.3,5057,885.33,175.07,3297,1676.754,508.57,39
2012,NYS CDCC,Orleans,Orleans,,468,163.606,349.59,340,117.199,344.7,128,46.407,362.55,,,,,,,24,10.661,444.21,235,40.433,172.06,209,112.512,538.33,40
2012,NYS CDCC,Oswego,Oswego,,1380,390.069,282.66,939,246.108,262.1,441,143.961,326.44,,,,,,,49,26.928,549.55,854,133.501,156.32,477,229.64,481.43,41
2012,NYS CDCC,Otsego,Otsego,,842,225.549,267.87,573,150.557,262.75,269,74.992,278.78,,,,,,,30,12.541,418.03,590,111.205,188.48,222,101.803,458.57,42
2012,NYS CDCC,Putnam,Putnam,,2512,554.91,220.9,1529,325.773,213.06,983,229.137,233.1,,,,,,,21,9.513,453,1896,283.737,149.65,595,261.66,439.76,43
2012,NYS CDCC,Rensselaer,Rensselaer,,3678,1088.359,295.91,2445,693.738,283.74,1233,394.621,320.05,,,,,,,105,53.759,511.99,2194,291.34,132.79,1379,743.26,538.98,44
2012,NYS CDCC,Rockland,Rockland,,8325,2965.48,356.21,4943,1616.364,327,3382,1349.116,398.91,,,,,,,216,147.292,681.91,5551,1335.25,240.54,2558,1482.938,579.73,45
2012,NYS CDCC,St. Lawrence,St. Lawrence,,1260,408.093,323.88,784,234.616,299.26,476,173.477,364.45,,,,,,,45,26.924,598.31,775,135.111,174.34,440,246.058,559.22,46
2012,NYS CDCC,Saratoga,Saratoga,,5059,1100.776,217.59,3136,696.894,222.22,1923,403.882,210.03,,,,,,,92,54.131,588.38,3777,482.319,127.7,1190,564.326,474.22,47
2012,NYS CDCC,Schenectady,Schenectady,,3555,1212.454,341.06,2303,747.409,324.54,1252,465.045,371.44,,,,,,,92,53.089,577.05,2085,307.73,147.59,1378,851.635,618.02,48
2012,NYS CDCC,Schoharie,Schoharie,,405,115.111,284.22,265,70.459,265.88,140,44.652,318.94,,,,,,,12,6.927,577.25,268,42.872,159.97,125,65.312,522.5,49
2012,NYS CDCC,Schuyler,Schuyler,d/,234,59.575,254.59,160,36.318,226.99,74,23.257,314.28,,,,,,,,,460.5,159,27.079,170.31,,,431.75,50
2012,NYS CDCC,Seneca,Seneca,,480,162.796,339.16,321,100.871,314.24,159,61.925,389.47,,,,,,,20,9.949,497.45,289,48.883,169.15,171,103.964,607.98,51
2012,NYS CDCC,Steuben,Steuben,,1667,465.132,279.02,1048,279.64,266.83,619,185.492,299.66,,,,,,,55,32.126,584.11,1120,187.607,167.51,492,245.399,498.78,52
2012,NYS CDCC,Suffolk,Suffolk,,36120,11939.008,330.54,23643,7332.438,310.13,12477,4606.57,369.2,,,,,,,739,488.129,660.53,22108,3528.745,159.61,13273,7922.134,596.86,53
2012,NYS CDCC,Sullivan,Sullivan,,1360,503.805,370.44,913,298.411,326.85,447,205.394,459.49,,,,,,,29,15.342,529.03,694,127.09,183.13,637,361.373,567.3,54
2012,NYS CDCC,Tioga,Tioga,,778,206.857,265.88,485,122.402,252.38,293,84.455,288.24,,,,,,,34,16.576,487.53,529,78.014,147.47,215,112.267,522.17,55
2012,NYS CDCC,Tompkins,Tompkins,,1892,414.726,219.2,1168,273.055,233.78,724,141.671,195.68,,,,,,,31,12.413,400.42,1375,195.239,141.99,486,207.074,426.08,56
2012,NYS CDCC,Ulster,Ulster,,3308,1025.689,310.06,2252,657.23,291.84,1056,368.459,348.92,,,,,,,79,42.395,536.65,2066,349.142,168.99,1163,634.152,545.27,57
2012,NYS CDCC,Warren,Warren,,1017,289.323,284.49,695,194.763,280.23,322,94.56,293.66,,,,,,,26,13.903,534.73,663,113.111,170.6,328,162.309,494.84,58
2012,NYS CDCC,Washington,Washington,,795,269.422,338.9,543,178.233,328.24,252,91.189,361.86,,,,,,,41,26.73,651.95,489,90.925,185.94,265,151.767,572.71,59
2012,NYS CDCC,Wayne,Wayne,,1611,523.006,324.65,999,296.974,297.27,612,226.032,369.33,,,,,,,59,32.352,548.34,1023,176.371,172.41,529,314.283,594.11,60
2012,NYS CDCC,Westchester,Westchester,,26962,9003.736,333.94,16768,5628.15,335.65,10194,3375.586,331.13,,,,,,,534,328.137,614.49,15265,2443.166,160.05,11163,6232.433,558.31,61
2012,NYS CDCC,Wyoming,Wyoming,,583,143.398,245.97,375,88.217,235.25,208,55.181,265.29,,,,,,,26,12.885,495.58,406,67.432,166.09,151,63.081,417.75,62
2012,NYS CDCC,Yates,Yates,d/,262,91.124,347.8,176,57.896,328.95,86,33.228,386.37,,,,,,,,,585.77,,,216,,,562.71,63
2012,NYS CDCC,NYS Unclassified +,All,d/,373,68.691,184.16,223,38.236,171.46,150,30.455,203.03,,,,,,,,,355,287,44.217,154.07,,,282.04,65
2012,NYS CDCC,All Other +,Not Applicable,,57194,6245.387,109.2,31794,3362.777,105.77,25400,2882.61,113.49,,,,,,,510,128.508,251.98,47212,3571.677,75.65,9472,2545.202,268.71,66
2012,NYS CDCC,Total Full-Year Residents,All,,448333,186928.881,416.94,306598,120652.169,393.52,141735,66276.712,467.61,,,,,,,13846,9106.53,657.7,214748,42243.572,196.71,219739,135578.779,617,67
2012,NYS CDCC,Total Part-Year Residents,Not Applicable,,6696,943.209,140.86,4482,585.597,130.66,2214,357.612,161.52,,,,,,,137,26.637,194.43,4527,426.879,94.3,2032,489.693,240.99,68
2012,NYS CDCC,Total Full-Year Nonresidents,Not Applicable,,53607,5706.594,106.45,29398,3030.218,103.08,24209,2676.376,110.55,,,,,,,447,113.493,253.9,44767,3335.872,74.52,8393,2257.229,268.94,69
2012,NYS CDCC,Grand Total,Grand Total,,508636,193578.684,380.58,340478,124267.984,364.98,168158,69310.7,412.18,,,,,,,14430,9246.66,640.79,264042,46006.323,174.24,230164,138325.701,600.99,70
2011,NYC CDCC,New York City - Bronx,Bronx,,4852,1734.554,357.49,,,,,,,,,,,,,,,,,,,,,,1
2011,NYC CDCC,New York City - Kings,Kings,,6535,2461.198,376.62,,,,,,,,,,,,,,,,,,,,,,2
2011,NYC CDCC,New York City - Manhattan,Manhattan,,2167,710.801,328.01,,,,,,,,,,,,,,,,,,,,,,3
2011,NYC CDCC,New York City - Queens,Queens,,3638,1470.675,404.25,,,,,,,,,,,,,,,,,,,,,,4
2011,NYC CDCC,New York City - Richmond,Richmond,,586,198.726,339.12,,,,,,,,,,,,,,,,,,,,,,5
2011,NYC CDCC,All Other +,Not Applicable,,446,126.117,282.77,,,,,,,,,,,,,,,,,,,,,,66
2011,NYC CDCC,Grand Total,Grand Total,,18224,6702.071,367.76,,,,,,,,,,,,,,,,,,,,,,70
2011,NYS CDCC,New York City - Bronx,Bronx,,46892,29283.405,624.49,34978,18893.264,540.15,11914,10390.141,872.1,,,,,,,2639,1839.933,697.21,6977,2252.921,322.91,37276,25190.551,675.78,1
2011,NYS CDCC,New York City - Kings,Kings,,68816,36261.598,526.94,50783,24087.335,474.32,18033,12174.263,675.11,,,,,,,1650,1025.984,621.81,22757,7131.051,313.36,44409,28104.563,632.86,2
2011,NYS CDCC,New York City - Manhattan,Manhattan,,30266,13045.849,431.04,20924,8507.115,406.57,9342,4538.734,485.84,,,,,,,1304,816.156,625.89,12890,2494.308,193.51,16072,9735.385,605.74,3
2011,NYS CDCC,New York City - Queens,Queens,,50534,24734.787,489.47,37025,16388.986,442.65,13509,8345.801,617.8,,,,,,,1044,657.4,629.69,19769,5493.52,277.89,29721,18583.867,625.28,4
2011,NYS CDCC,New York City - Richmond,Richmond,,10377,3573.347,344.35,7102,2199.75,309.74,3275,1373.597,419.42,,,,,,,202,104.12,515.45,5611,1027.65,183.15,4564,2441.577,534.96,5
2011,NYS CDCC,"Total, New York City","Total, New York City",,206885,106898.986,516.71,150812,70076.45,464.66,56073,36822.536,656.69,,,,,,,6839,4443.593,649.74,68004,18399.45,270.56,132042,84055.943,636.58,6
2011,NYS CDCC,Albany,Albany,,7057,2124.429,301.04,4641,1366.611,294.46,2416,757.818,313.67,,,,,,,174,97.574,560.77,4220,568.913,134.81,2663,1457.942,547.48,7
2011,NYS CDCC,Allegany,Allegany,,475,127.539,268.5,289,67.989,235.26,186,59.55,320.16,,,,,,,21,9.733,463.48,348,66.736,191.77,106,51.07,481.79,8
2011,NYS CDCC,Broome,Broome,,2663,794.485,298.34,1762,496.749,281.92,901,297.736,330.45,,,,,,,89,45.921,515.97,1611,263.327,163.46,963,485.237,503.88,9
2011,NYS CDCC,Cattaraugus,Cattaraugus,,1046,274.148,262.09,719,169.51,235.76,327,104.638,319.99,,,,,,,54,17.429,322.76,634,108.428,171.02,358,148.291,414.22,10
2011,NYS CDCC,Cayuga,Cayuga,,1153,306.685,265.99,778,197.067,253.3,375,109.618,292.31,,,,,,,26,12.515,481.35,738,115.239,156.15,389,178.931,459.98,11
2011,NYS CDCC,Chautauqua,Chautauqua,,1637,447.181,273.17,1086,272.996,251.38,551,174.185,316.13,,,,,,,74,39.384,532.22,1004,160.273,159.63,559,247.524,442.8,12
2011,NYS CDCC,Chemung,Chemung,,1456,400.647,275.17,967,247.86,256.32,489,152.787,312.45,,,,,,,48,22.118,460.79,909,142.977,157.29,499,235.552,472.05,13
2011,NYS CDCC,Chenango,Chenango,,679,196.971,290.09,451,110.37,244.72,228,86.601,379.83,,,,,,,31,13.522,436.19,449,86.17,191.92,199,97.279,488.84,14
2011,NYS CDCC,Clinton,Clinton,,1466,407.12,277.71,984,245.036,249.02,482,162.084,336.27,,,,,,,36,21.2,588.89,1019,174.38,171.13,411,211.54,514.7,15
2011,NYS CDCC,Columbia,Columbia,,886,221.2,249.66,641,151.99,237.11,245,69.21,282.49,,,,,,,24,12.057,502.38,607,86.051,141.76,255,123.092,482.71,16
2011,NYS CDCC,Cortland,Cortland,,901,279.158,309.83,578,177.481,307.06,323,101.677,314.79,,,,,,,38,20.302,534.26,583,107.607,184.57,280,151.249,540.18,17
2011,NYS CDCC,Delaware,Delaware,,485,146.92,302.93,307,84.42,274.98,178,62.5,351.12,,,,,,,21,12.163,579.19,298,64.193,215.41,166,70.564,425.08,18
2011,NYS CDCC,Dutchess,Dutchess,,6574,1803.903,274.4,4254,1095.994,257.64,2320,707.909,305.13,,,,,,,162,83.755,517.01,4267,613.175,143.7,2145,1106.973,516.07,19
2011,NYS CDCC,Erie,Erie,,17639,5134.646,291.1,11352,3164.043,278.72,6287,1970.603,313.44,,,,,,,499,244.412,489.8,10601,1460.781,137.8,6539,3429.453,524.46,20
2011,NYS CDCC,Essex,Essex,,540,148.93,275.8,361,96.226,266.55,179,52.704,294.44,,,,,,,11,6.662,605.64,384,73.223,190.68,145,69.045,476.17,21
2011,NYS CDCC,Franklin,Franklin,,743,247.637,333.29,487,154.168,316.57,256,93.469,365.11,,,,,,,19,10.216,537.68,431,89.215,207,293,148.206,505.82,22
2011,NYS CDCC,Fulton,Fulton,,655,230.701,352.22,481,154.256,320.7,174,76.445,439.34,,,,,,,22,9.431,428.68,356,63.674,178.86,277,157.596,568.94,23
2011,NYS CDCC,Genesee,Genesee,,885,221.519,250.3,568,137.96,242.89,317,83.559,263.59,,,,,,,34,16.752,492.71,597,86.035,144.11,254,118.732,467.45,24
2011,NYS CDCC,Greene,Greene,,536,148.262,276.61,372,97.712,262.67,164,50.55,308.23,,,,,,,15,9.57,638,366,61.393,167.74,155,77.299,498.7,25
2011,NYS CDCC,Hamilton,Hamilton,d/,21,8.887,423.19,,,313.69,,,601.12,,,,,,,,,989,13,1.643,126.38,,,893.57,26
2011,NYS CDCC,Herkimer,Herkimer,,876,294.939,336.69,567,175.524,309.57,309,119.415,386.46,,,,,,,34,18.166,534.29,553,111.984,202.5,289,164.789,570.2,27
2011,NYS CDCC,Jefferson,Jefferson,,1642,519.436,316.34,1082,304.649,281.56,560,214.787,383.55,,,,,,,41,24.346,593.8,1096,244.759,223.32,505,250.331,495.7,28
2011,NYS CDCC,Lewis,Lewis,d/,327,71.278,217.98,,,166.55,,,312.78,,,,,,,,,601.67,254,39.401,155.12,,,421.89,29
2011,NYS CDCC,Livingston,Livingston,,895,227.155,253.8,584,134.834,230.88,311,92.321,296.85,,,,,,,33,18.41,557.88,620,97.764,157.68,242,110.981,458.6,30
2011,NYS CDCC,Madison,Madison,,963,252.928,262.65,612,146.144,238.8,351,106.784,304.23,,,,,,,18,11.241,624.5,699,109.683,156.91,246,132.004,536.6,31
2011,NYS CDCC,Monroe,Monroe,,15604,4917.199,315.12,9764,3038.668,311.21,5840,1878.531,321.67,,,,,,,538,308.865,574.1,9194,1297.952,141.17,5872,3310.382,563.76,32
2011,NYS CDCC,Montgomery,Montgomery,,734,249.168,339.47,524,169.281,323.06,210,79.887,380.41,,,,,,,23,14.821,644.39,422,74.078,175.54,289,160.269,554.56,33
2011,NYS CDCC,Nassau,Nassau,,36545,10875.526,297.59,23174,6576.723,283.8,13371,4298.803,321.5,,,,,,,700,387.583,553.69,22989,3728.315,162.18,12856,6759.628,525.8,34
2011,NYS CDCC,Niagara,Niagara,,3711,1035.67,279.08,2448,634.153,259.05,1263,401.517,317.91,,,,,,,102,42.93,420.88,2338,318.887,136.39,1271,673.853,530.18,35
2011,NYS CDCC,Oneida,Oneida,,3489,1207.799,346.17,2341,757.419,323.55,1148,450.38,392.32,,,,,,,126,71.078,564.11,2060,423.258,205.47,1303,713.463,547.55,36
2011,NYS CDCC,Onondaga,Onondaga,,9625,3104.7,322.57,6200,1888.283,304.56,3425,1216.417,355.16,,,,,,,406,208.187,512.78,5594,843.736,150.83,3625,2052.777,566.28,37
2011,NYS CDCC,Ontario,Ontario,,2142,554.903,259.06,1284,335.29,261.13,858,219.613,255.96,,,,,,,70,33.023,471.76,1468,215.426,146.75,604,306.454,507.37,38
2011,NYS CDCC,Orange,Orange,,8528,2601.738,305.08,5715,1605.932,281,2813,995.806,354,,,,,,,185,106.915,577.92,5106,875.522,171.47,3237,1619.301,500.25,39
2011,NYS CDCC,Orleans,Orleans,,428,134.625,314.54,299,88.051,294.48,129,46.574,361.04,,,,,,,20,6.457,322.85,234,41.624,177.88,174,86.544,497.38,40
2011,NYS CDCC,Oswego,Oswego,,1415,391.467,276.66,955,243.215,254.68,460,148.252,322.29,,,,,,,68,33.486,492.44,870,142.45,163.74,477,215.531,451.85,41
2011,NYS CDCC,Otsego,Otsego,,859,228.47,265.97,578,151.294,261.75,281,77.176,274.65,,,,,,,30,13.097,436.57,603,111.224,184.45,226,104.149,460.84,42
2011,NYS CDCC,Putnam,Putnam,,2500,516.213,206.49,1543,309.694,200.71,957,206.519,215.8,,,,,,,21,12.326,586.95,1908,269.433,141.21,571,234.454,410.6,43
2011,NYS CDCC,Rensselaer,Rensselaer,,3869,1095.894,283.25,2604,698.898,268.39,1265,396.996,313.83,,,,,,,102,48.096,471.53,2308,301.644,130.69,1459,746.154,511.41,44
2011,NYS CDCC,Rockland,Rockland,,8132,2662.56,327.42,4902,1472.948,300.48,3230,1189.612,368.3,,,,,,,194,126.562,652.38,5481,1219.885,222.57,2457,1316.113,535.66,45
2011,NYS CDCC,St. Lawrence,St. Lawrence,,1219,370.931,304.29,742,204.304,275.34,477,166.627,349.32,,,,,,,39,21.08,540.51,799,141.899,177.6,381,207.952,545.81,46
2011,NYS CDCC,Saratoga,Saratoga,,5086,1031.34,202.78,3191,649.554,203.56,1895,381.786,201.47,,,,,,,91,46.777,514.03,3869,484.386,125.2,1126,500.177,444.21,47
2011,NYS CDCC,Schenectady,Schenectady,,3443,1113.361,323.37,2246,695.323,309.58,1197,418.038,349.24,,,,,,,88,48.237,548.15,2077,303.7,146.22,1278,761.424,595.79,48
2011,NYS CDCC,Schoharie,Schoharie,d/,375,100.444,267.85,235,58.186,247.6,140,42.258,301.84,,,,,,,,,622.83,263,39.72,151.03,,,537.61,49
2011,NYS CDCC,Schuyler,Schuyler,d/,244,72.691,297.91,175,48.144,275.11,69,24.547,355.75,,,,,,,,,612.87,157,28.244,179.9,,,500.56,50
2011,NYS CDCC,Seneca,Seneca,,461,140.151,304.02,304,86.717,285.25,157,53.434,340.34,,,,,,,19,8.452,444.84,283,46.562,164.53,159,85.137,535.45,51
2011,NYS CDCC,Steuben,Steuben,,1643,429.058,261.14,1021,248.817,243.7,622,180.241,289.78,,,,,,,67,29.027,433.24,1128,195.57,173.38,448,204.461,456.39,52
2011,NYS CDCC,Suffolk,Suffolk,,36498,11462.909,314.07,23920,7027.291,293.78,12578,4435.618,352.65,,,,,,,705,417.235,591.82,22677,3567.337,157.31,13116,7478.337,570.17,53
2011,NYS CDCC,Sullivan,Sullivan,,1383,501.39,362.54,921,291.463,316.46,462,209.927,454.39,,,,,,,38,19.786,520.68,714,130.874,183.3,631,350.73,555.83,54
