Tax Year,Credit Type,Place of Residence,County,Notes,"Number of Claims, Total","Credit Amount Claimed, Total ($000)","Average Credit, Total","Number of Claims, One Qualifying Person","Credit Amount Claimed, One Qualifying Person ($000)","Average Credit, One Qualifying Person","Number of Claims, Two or More Qualifying Persons","Credit Amount Claimed, Two or More Qualifying Persons ($000)","Average Credit, Two or More Qualifying Persons","Number of Claims, Two Qualifying Persons","Credit Amount Claimed, Two Qualifying Persons ($000)","Average Credit, Two Qualifying Persons","Number of Claims, Three or More Qualifying Persons","Credit Amount Claimed, Three or More Qualifying Persons ($000)","Average Credit, Three or More Qualifying Persons","Number of Claims, Single Filing Status","Credit Amount Claimed, Single Filing Status ($000)","Average Credit, Single Filing Status","Number of Claims, MFJ & QW Filing Status *","Credit Amount Claimed, MFJ & QW Filing Status ($000) *","Average Credit, MFJ & QW Filing Status *","Number of Claims, Head of Household Filing Status","Credit Amount Claimed, Head of Household Filing Status ($000)","Average Credit, Head of Household Filing Status",Place of Residence Sort Order
2007,NYS CDCC,Schenectady,Schenectady,,3646,1466.236,402.149,2428,869.437,358.088,1218,596.799,489.983,,,,,,,131,83.839,639.992,2020,368.55,182.45,1495,1013.847,678.159,48
2007,NYS CDCC,Schoharie,Schoharie,d/,439,135.422,308.478,293,80.715,275.478,146,54.707,374.705,,,,,,,,,559.75,315,65.304,207.314,,,565.66,49
2007,NYS CDCC,Schuyler,Schuyler,d/,287,81.321,283.348,192,55.277,287.901,95,26.044,274.147,,,,,,,,,285.5,204,40.399,198.034,,,515.17,50
2007,NYS CDCC,Seneca,Seneca,,506,181.755,359.2,342,116.372,340.269,164,65.383,398.677,,,,,,,12,9.674,806.167,319,65.223,204.461,175,106.858,610.617,51
2007,NYS CDCC,Steuben,Steuben,,1814,574.189,316.532,1120,315.518,281.713,694,258.671,372.725,,,,,,,66,34.793,527.167,1243,262.793,211.418,505,276.603,547.729,52
2007,NYS CDCC,Suffolk,Suffolk,,41733,18675.471,447.499,27422,10586.118,386.045,14311,8089.353,565.254,,,,,,,1115,968.352,868.477,24022,4504.804,187.528,16596,13202.315,795.512,53
2007,NYS CDCC,Sullivan,Sullivan,,1552,684.398,440.978,1036,395.604,381.857,516,288.794,559.678,,,,,,,37,22.398,605.351,827,175.782,212.554,688,486.218,706.712,54
2007,NYS CDCC,Tioga,Tioga,,921,239.831,260.403,586,136.87,233.567,335,102.961,307.346,,,,,,,17,10.728,631.059,689,130.033,188.727,215,99.07,460.791,55
2007,NYS CDCC,Tompkins,Tompkins,,1984,515.585,259.871,1289,326.258,253.109,695,189.327,272.413,,,,,,,28,11.344,405.143,1411,232.225,164.582,545,272.016,499.112,56
2007,NYS CDCC,Ulster,Ulster,,3436,1219.022,354.779,2394,748.246,312.551,1042,470.776,451.8,,,,,,,59,34.169,579.136,2154,396.213,183.943,1223,788.64,644.841,57
2007,NYS CDCC,Warren,Warren,,1088,351.098,322.7,730,215.541,295.262,358,135.557,378.651,,,,,,,24,13.564,565.167,720,127.182,176.642,344,210.352,611.488,58
